,city,lat,lon,temp,humidity,cloudiness,wind speed
0,Cayenne,4.9333,-52.3333,80.6,78,75,14.97
1,Nouadhibou,20.931,-17.0347,62.6,82,0,18.41
2,Mayna,54.1135,47.6231,0.25,94,4,7.7
3,Pevek,69.7008,170.3133,-13.72,88,91,3.49
4,Albany,42.6001,-73.9662,18.72,37,100,2.55
5,Arrondissement de Saint-Denis,48.9167,2.3333,25.18,58,0,9.22
6,Ushuaia,-54.8,-68.3,41.0,87,20,6.91
7,Bukama,-9.2,25.85,68.99,94,100,1.74
8,Beyneu,45.3167,55.2,38.68,87,96,21.41
9,Yellowknife,62.456,-114.3525,-9.4,84,1,6.91
10,Savannakhet,16.566,104.751,64.4,77,5,2.3
11,Hobart,-42.8794,147.3294,69.58,55,20,12.66
12,Kurchum,48.5722,83.6542,-2.58,90,20,2.53
13,Carolina,18.3808,-65.9574,74.34,69,20,6.91
14,Berlevåg,70.8578,29.0864,25.83,88,100,13.11
15,Jamestown,42.097,-79.2353,21.76,100,90,3.44
16,Los Llanos de Aridane,28.6585,-17.9182,55.38,82,0,9.22
17,Ribeira Grande,38.5167,-28.7,57.43,68,75,30.27
18,Nikolskoye,59.7035,30.7861,14.23,86,75,6.71
19,San Ignacio,17.1561,-89.0714,78.8,78,0,9.22
20,Faanui,-16.4833,-151.75,81.9,68,27,4.65
21,Bredasdorp,-34.5322,20.0403,64.4,88,0,3.44
22,Imbituba,-28.24,-48.6703,77.0,83,40,3.44
23,Busselton,-33.65,115.3333,79.81,48,0,5.88
24,New Norfolk,-42.7826,147.0587,70.7,35,0,1.99
25,Saskylakh,71.9167,114.0833,-30.96,77,40,3.49
26,Atuona,-9.8,-139.0333,79.41,78,1,15.73
27,Alice Springs,-23.7,133.8833,84.11,47,2,9.22
28,Kaitangata,-46.2817,169.8464,64.99,66,100,7.0
29,Saint-Augustin,51.226,-58.6502,3.16,90,81,11.01
30,La Santisima Trinidad,-14.8333,-64.9,75.9,88,62,2.35
31,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,5.75
32,George Town,5.4112,100.3354,80.15,73,20,3.44
33,Rikitea,-23.1203,-134.9692,80.08,74,99,10.0
34,Hermanus,-34.4187,19.2345,61.0,94,0,5.23
35,Chambéry,45.5667,5.9333,25.18,74,90,11.5
36,Qaanaaq,77.484,-69.3632,8.49,76,0,5.46
37,Bairiki Village,1.3292,172.9752,77.0,94,90,3.44
38,Hurup,56.7494,8.4195,16.84,92,0,3.44
39,Assiut,27.181,31.1837,50.0,76,0,5.75
40,Norman Wells,65.282,-126.8329,-7.6,77,1,4.61
